query	COG_category
group_2959	S
group_296	P
group_2960	J
group_2962	-
group_2964	E
group_2965	KL
group_2966	-
group_2967	-
group_2968	E
group_2969	K
group_297	P
group_2972	-
group_2973	L
group_2974	-
group_2976	S
group_298	L
group_2982	S
group_2983	S
group_2987	L
group_2989	L
group_299	P
group_2990	L
group_2992	-
group_2993	L
group_2994	L
group_2995	V
group_2997	-
group_2999	S
group_3	K
group_30	M
group_300	HP
group_3000	-
group_3004	-
group_3006	-
group_3009	C
group_301	S
group_3013	EGP
group_3014	-
group_3019	L
group_302	L
group_3020	L
group_3022	-
group_3023	V
group_3024	L
group_3026	-
group_3027	S
group_303	L
group_3031	L
group_3032	S
group_3033	-
group_3035	-
group_3036	EGP
group_3039	-
group_304	-
group_3040	-
group_3041	-
group_3042	L
group_3043	L
group_3047	L
group_3048	V
group_305	M
group_3052	-
group_3053	-
group_3056	K
group_306	C
group_3060	-
group_3064	-
group_3067	M
group_3068	-
group_3069	-
group_307	S
group_3070	-
group_3074	-
group_3077	-
group_3079	-
group_308	T
group_3080	-
group_3082	-
group_3084	S
group_3085	L
group_3086	-
group_3087	L
group_3088	-
group_309	E
group_3090	-
group_3092	-
group_3096	S
group_3097	-
group_31	-
group_310	S
group_3105	-
group_3109	-
group_311	-
group_3112	-
group_3113	-
group_3115	G
group_3117	P
group_3119	-
group_312	K
group_3120	-
group_3121	S
group_3124	-
group_3126	L
group_3128	-
group_3129	-
group_313	P
group_3132	K
group_3136	-
group_314	S
group_3142	P
group_3143	S
group_3144	-
group_3148	S
group_315	L
group_3151	S
group_3159	S
group_316	-
group_3160	S
group_3161	-
group_3162	-
group_3164	L
group_3168	C
group_3169	L
group_317	S
group_3170	-
group_3174	-
group_3178	-
group_3179	O
group_318	M
group_3180	-
group_3181	-
group_3186	L
group_3187	-
group_3188	-
group_319	E
group_3193	-
group_3194	-
group_32	S
group_320	S
group_3209	-
group_321	L
group_3211	-
group_3213	-
group_322	T
group_3224	-
group_3225	-
group_323	L
group_3230	-
group_3241	-
group_3245	-
group_3251	L
group_3253	-
group_3258	L
group_3260	-
group_3264	-
group_327	O
group_3270	-
group_3272	-
group_3273	L
group_3276	-
group_3277	-
group_3279	-
group_328	S
group_3280	-
group_3283	-
group_3285	S
group_3286	L
group_3287	S
group_329	T
group_3295	-
group_330	T
group_3305	-
group_3306	-
group_331	-
group_3310	-
group_332	M
group_3324	-
group_3325	-
group_3326	L
group_333	L
group_3332	J
group_3336	-
group_3337	-
group_3339	L
group_334	L
group_3349	-
group_335	V
group_3357	L
group_3358	-
group_3359	-
group_336	L
group_3367	-
group_337	S
group_3374	L
group_338	V
group_339	S
group_34	V
group_341	K
group_3420	-
group_3421	L
group_3422	L
group_3424	L
group_3425	L
group_3426	L
group_3429	K
group_343	L
group_3430	L
group_3431	L
group_3432	L
group_3436	L
group_3437	L
group_344	S
group_3440	L
group_3441	L
group_3444	L
group_3445	L
group_3446	L
group_345	L
group_3451	L
group_3452	L
group_346	S
group_3465	L
group_3468	L
group_3469	L
group_347	L
group_3479	L
group_348	S
group_3483	-
group_3484	-
group_3485	I
group_3486	S
group_3487	L
group_3488	L
group_3489	L
group_349	L
group_3490	L
group_3491	L
group_3493	L
group_3495	HJ
group_3496	P
group_3497	I
group_3498	-
group_3499	V
group_35	V
group_350	Q
group_3500	-
group_3501	K
group_3502	K
group_3503	P
group_3505	L
group_3506	K
group_3508	S
group_351	S
group_3510	-
group_3517	L
group_352	L
group_3521	IQ
group_3523	P
group_3524	L
group_353	S
group_3531	-
group_3534	L
group_3536	M
group_3537	L
group_354	P
group_3540	EGP
group_3543	S
group_3544	S
group_3545	L
group_3546	K
group_3547	M
group_3548	P
group_3549	-
group_355	P
group_3550	-
group_3551	L
group_3553	T
group_3554	L
group_3556	Q
group_3557	T
group_356	V
group_3565	-
group_3567	-
group_3568	M
group_357	C
group_3570	J
group_3571	K
group_3572	-
group_3573	-
group_3574	-
group_3576	L
group_3577	L
group_3578	L
group_358	V
group_3580	P
group_3581	-
group_3582	M
group_3583	P
group_3585	S
group_3586	L
group_3587	L
group_3588	S
group_3589	F
group_359	O
group_3592	DJ
group_3594	L
group_3595	KT
group_3598	S
group_3599	S
group_360	-
group_3602	P
group_3603	L
group_3604	L
group_3606	L
group_3607	L
group_3608	E
group_3609	K
group_361	HP
group_3610	C
group_3611	L
group_3613	M
group_3615	GM
group_3616	T
group_3617	T
group_3618	S
group_3619	DJ
group_362	-
group_3620	E
group_3621	Q
group_3623	E
group_3628	K
group_363	L
group_3630	-
group_3631	J
group_3632	S
group_3633	S
group_3634	I
group_3635	S
group_3637	S
group_3638	S
group_3639	S
group_364	E
group_3640	S
group_3642	S
group_3643	S
group_3644	P
group_3645	EGP
group_3646	M
group_3647	I
group_3648	S
group_3649	P
group_365	-
group_3650	L
group_3651	-
group_3652	L
group_3653	-
group_3655	I
group_3656	C
group_3657	-
group_3658	S
group_3659	K
group_366	-
group_3661	M
group_3662	T
group_3663	-
group_3664	-
group_3665	K
group_3666	E
group_3667	V
group_3668	-
group_3669	-
group_3670	KT
group_3671	C
group_3672	G
group_3673	S
group_3674	-
group_3675	H
group_3676	L
group_3677	ET
group_3678	V
group_3679	S
group_368	V
group_3680	G
group_3681	-
group_3682	S
group_3683	-
group_3684	M
group_3685	C
group_3686	L
group_3687	S
group_3688	S
group_3689	-
group_3690	K
group_3691	S
group_3692	G
group_3693	E
group_3695	M
group_3696	S
group_3697	M
group_3698	S
group_3699	S
group_37	S
group_370	KL
group_3700	F
group_3701	L
group_3702	S
group_3703	-
group_3704	J
group_3705	S
group_3706	P
group_3707	L
group_3708	H
group_3709	Q
group_3710	-
group_3711	L
group_3712	Q
group_3713	C
group_3714	C
group_3715	K
group_3716	L
group_3717	K
group_3718	-
group_3719	V
group_372	-
group_3720	V
group_3721	S
group_3722	V
group_3723	-
group_3724	S
group_3725	-
group_3726	L
group_3727	S
group_3728	J
group_3729	F
group_373	S
group_3730	L
group_3731	-
group_3732	K
group_3733	T
group_3734	V
group_3736	S
group_3737	-
group_3738	L
group_3739	S
group_374	-
group_3740	QT
group_3741	L
group_3742	H
group_3743	S
group_3744	H
group_3745	-
group_3746	M
group_3747	H
group_3748	K
group_3749	V
group_375	V
group_3750	M
group_3751	H
group_3754	K
group_3755	I
group_3756	C
group_3757	GM
group_3758	K
group_376	KL
group_3760	L
group_3761	L
group_3763	K
group_3766	M
group_3767	G
group_3768	J
group_3769	-
group_3770	S
group_3771	C
group_3772	P
group_3773	V
group_3774	S
group_3775	S
group_3776	P
group_3777	KT
group_3778	S
group_3779	S
group_378	KL
group_3780	Q
group_3781	S
group_3782	H
group_3783	P
group_3784	-
group_3785	E
group_3786	E
group_3787	S
group_3789	L
group_3790	-
group_3791	H
group_3792	I
group_3793	-
group_3794	E
group_3796	-
group_3797	S
group_3798	J
group_3799	S
group_38	-
group_380	I
group_3800	KL
group_3801	L
group_3802	U
group_3803	P
group_3804	L
group_3805	GM
group_3806	L
group_3807	-
group_3808	P
group_3809	F
group_381	-
group_3810	D
group_3811	-
group_3812	L
group_3813	EH
group_3816	S
group_3817	C
group_3818	-
group_3819	D
group_382	L
group_3820	K
group_3821	E
group_3823	-
group_3824	-
group_3825	G
group_3826	P
group_3827	S
group_3828	P
group_3829	-
group_383	J
group_3830	K
group_3831	T
group_3832	E
group_3833	O
group_3834	E
group_3835	J
group_3836	G
group_3837	G
group_3839	P
group_3840	K
group_3841	P
group_3842	-
group_3843	E
group_3844	J
group_3845	K
group_3846	-
group_3847	IQ
group_3848	GM
group_3849	P
group_385	L
group_3850	-
group_3851	K
group_3852	E
group_3856	L
group_3857	S
group_3858	L
group_3859	T
group_386	S
group_3860	S
group_3861	K
group_3862	-
group_3863	I
group_3864	P
group_3865	O
group_3866	-
group_3867	V
group_3868	M
group_3869	K
group_387	-
group_3870	-
group_3871	S
group_3872	J
group_3874	J
group_3875	M
group_3876	E
group_3877	S
group_3878	S
group_3879	-
group_3880	E
group_3881	S
group_3882	-
group_3883	-
group_3884	D
group_3885	S
group_3886	-
group_3887	G
group_3888	E
group_3889	L
group_389	S
group_3890	E
group_3891	H
group_3892	V
group_3893	G
group_3896	L
group_3897	L
group_3898	-
group_3899	K
group_39	V
group_390	C
group_3900	J
group_3901	M
group_3902	-
group_3903	O
group_3904	-
group_3905	C
group_3908	J
group_3909	O
group_391	S
group_3910	-
group_3911	S
group_3912	M
group_3913	S
group_3914	-
group_3915	-
group_3916	-
group_3917	P
group_3918	C
group_3919	K
group_392	L
group_3920	-
group_3921	S
group_3922	E
group_3923	S
group_3924	L
group_3926	EGP
group_3927	-
group_3928	-
group_3929	S
group_393	E
group_3930	L
group_3931	L
group_3932	T
group_3933	S
group_3934	JM
group_3936	S
group_3938	J
group_3939	F
group_394	V
group_3941	-
group_3942	-
group_3944	J
group_3945	S
group_3948	-
group_395	L
group_3950	KT
group_3951	-
group_3952	I
group_3953	T
group_3955	S
group_3956	M
group_3958	V
group_3959	-
group_396	S
group_3960	K
group_3961	KT
group_3962	-
group_3963	J
group_3964	T
group_3965	S
group_3966	P
group_3967	L
group_3968	-
group_3969	L
group_397	I
group_3970	L
group_3971	L
group_3972	-
group_3973	H
group_3974	KT
group_3975	E
group_3976	E
group_3977	E
group_3978	L
group_398	-
group_3980	V
group_3981	-
group_3982	-
group_3984	S
group_3985	S
group_3986	-
group_3987	S
group_3988	K
group_3989	-
group_399	P
group_3990	L
group_3991	-
group_3992	KT
group_3993	G
group_3994	L
group_3995	E
group_3996	H
group_3997	M
group_3998	S
group_3999	-
group_4	S
group_40	E
group_400	L
group_4000	P
group_4001	S
group_4002	M
group_4003	T
group_4004	-
group_4005	P
group_4006	-
group_4007	S
group_4008	J
group_4009	L
group_401	L
group_4010	S
group_4011	-
group_4012	K
group_4013	I
group_4014	-
group_4016	C
group_4017	V
group_4018	K
group_4019	K
group_402	M
group_4020	J
group_4021	P
group_4022	S
group_4023	FJ
group_4024	K
group_4025	S
group_4026	-
group_4027	P
group_4028	T
group_4029	L
group_403	L
group_4031	-
group_4032	L
group_4033	EGP
group_4034	K
group_4035	L
group_4036	K
group_4037	M
group_4038	S
group_4039	T
group_404	O
group_4040	S
group_4041	M
group_4042	V
group_4044	C
group_4045	I
group_4046	L
group_4047	M
group_4048	K
group_4049	-
group_4050	P
group_4051	I
group_4052	Q
group_4053	Q
group_4054	S
group_4055	H
group_4057	I
group_4058	S
group_4059	M
group_4060	S
group_4061	C
group_4063	-
group_4064	-
group_4065	T
group_4066	EH
group_4067	S
group_4068	C
group_4069	C
group_407	L
group_4070	G
group_4072	F
group_4074	M
group_4075	S
group_4076	S
group_4077	J
group_4078	E
group_4079	S
group_408	M
group_4080	H
group_4081	E
group_4082	M
group_4083	-
group_4084	G
group_4085	EGP
group_4086	L
group_4087	E
group_4088	F
group_4089	P
group_4090	G
group_4091	EH
group_4092	S
group_4093	-
group_4094	M
group_4095	M
group_4096	-
group_4097	S
group_4098	-
group_4099	S
group_41	M
group_410	C
group_4100	F
group_4101	S
group_4102	G
group_4103	EH
group_4104	-
group_4105	KT
group_4106	J
group_4107	-
group_4109	H
group_411	K
group_4111	S
group_4112	G
group_4113	F
group_4114	P
group_4115	G
group_4116	S
group_4117	J
group_4118	NU
group_4119	V
group_4120	S
group_4121	C
group_4122	-
group_4123	S
group_4124	S
group_4126	L
group_4127	S
group_4128	M
group_4129	S
group_413	H
group_4130	-
group_4131	M
group_4132	V
group_4133	V
group_4134	F
group_4136	S
group_4137	S
group_4138	E
group_4139	-
group_414	M
group_4140	P
group_4141	S
group_4142	-
group_4143	P
group_4144	K
group_4146	D
group_4147	V
group_4148	M
group_4149	L
group_415	L
group_4150	-
group_4151	S
group_4152	H
group_4153	-
group_4154	H
group_4155	K
group_4156	C
group_4157	-
group_4158	-
group_4159	G
group_416	S
group_4160	-
group_4161	S
group_4162	M
group_4163	C
group_4164	M
group_4165	M
group_4166	S
group_4167	E
group_4169	C
group_4170	M
group_4171	H
group_4172	L
group_4173	F
group_4175	H
group_4176	M
group_4178	M
group_4179	S
group_418	P
group_4180	T
group_4181	S
group_4182	-
group_4183	S
group_4184	D
group_4185	S
group_4186	E
group_4187	P
group_4188	H
group_4189	E
group_419	ET
group_4191	HJ
group_4192	I
group_4193	-
group_4194	S
group_4195	S
group_4196	J
group_4197	K
group_4198	S
group_4199	I
group_420	S
group_4200	H
group_4201	-
group_4202	S
group_4203	J
group_4204	I
group_4205	-
group_4206	EGP
group_4207	-
group_4209	S
group_421	S
group_4210	K
group_4211	U
group_4212	V
group_4213	S
group_4214	L
group_4215	P
group_4216	J
group_4217	F
group_4218	J
group_4219	S
group_422	S
group_4220	-
group_4221	-
group_4222	H
group_4223	T
group_4224	K
group_4225	J
group_4226	J
group_4227	S
group_4228	-
group_4229	-
group_423	S
group_4230	S
group_4231	EH
group_4232	I
group_4233	O
group_4235	M
group_4236	S
group_4237	S
group_4238	E
group_4239	L
group_424	F
group_4240	G
group_4241	H
group_4242	Q
group_4243	-
group_4244	C
group_4245	-
group_4246	S
group_4247	S
group_4248	G
group_4249	G
group_425	KT
group_4250	S
group_4251	V
group_4252	G
group_4253	S
group_4254	-
group_4255	-
group_4256	-
group_4257	-
group_4258	J
group_4259	-
group_426	O
group_4260	S
group_4261	S
group_4262	-
group_4263	L
group_4264	S
group_4265	V
group_4266	-
group_4267	M
group_4268	S
group_4269	-
group_427	V
group_4270	S
group_4272	P
group_4274	EGP
group_4275	-
group_4276	-
group_4277	D
group_4278	K
group_4279	-
group_428	L
group_4280	K
group_4281	K
group_4282	S
group_4283	V
group_4284	S
group_4285	S
group_4286	D
group_4287	V
group_4288	-
group_4289	S
group_429	O
group_4290	E
group_4291	J
group_4292	G
group_4293	S
group_4294	G
group_4295	-
group_4296	U
group_4297	D
group_4298	S
group_43	L
group_4300	U
group_4301	S
group_4302	C
group_4303	-
group_4304	M
group_4305	P
group_4306	H
group_4307	C
group_4308	K
group_4309	S
group_431	M
group_4310	EG
group_4311	S
group_4312	S
group_4313	S
group_4315	H
group_4316	KT
group_4317	K
group_4318	-
group_4319	I
group_432	M
group_4320	-
group_4321	M
group_4322	M
group_4323	-
group_4325	-
group_4326	CO
group_4327	I
group_4328	V
group_4329	J
group_433	S
group_4330	-
group_4331	-
group_4332	-
group_4333	G
group_4334	P
group_4335	-
group_4336	M
group_4337	S
group_4338	S
group_4339	-
group_4340	K
group_4341	E
group_4342	S
group_4343	O
group_4344	M
group_4345	S
group_4346	-
group_4347	L
group_4348	C
group_4349	-
group_435	L
group_4350	-
group_4351	L
group_4352	S
group_4353	-
group_4354	S
group_4355	S
group_4356	-
group_4358	-
group_4359	V
group_436	T
group_4360	V
group_4361	S
group_4363	S
group_4364	-
group_4365	IQ
group_4366	E
group_4367	F
group_4368	S
group_4369	L
group_437	S
group_4370	O
group_4371	I
group_4372	K
group_4373	P
group_4374	-
group_4375	K
group_4376	K
group_4377	S
group_4378	Q
group_438	EG
group_4380	P
group_4381	-
group_4382	S
group_4383	H
group_4384	-
group_4385	FG
group_4386	EGP
group_4388	M
group_4389	K
group_439	L
group_4390	O
group_4391	-
group_4392	K
group_4393	S
group_4394	M
group_4395	H
group_4396	-
group_4397	K
group_4398	G
group_4399	CP
group_440	P
group_4400	-
group_4401	M
group_4402	I
group_4403	F
group_4404	F
group_4405	-
group_4406	L
group_4407	H
group_4408	E
group_4409	-
group_441	L
group_4410	H
group_4411	EH
group_4412	M
group_4413	D
group_4414	M
group_4415	S
group_4416	V
group_4417	HQ
group_4418	-
group_4419	S
group_442	P
group_4421	-
group_4422	S
group_4423	L
group_4424	C
group_4425	V
group_4426	E
group_4427	S
group_4428	E
group_4429	E
group_443	D
group_4430	C
group_4431	-
group_4432	O
group_4433	L
group_4434	E
group_4436	-
group_4437	S
group_4438	D
group_4439	M
group_4440	-
group_4441	E
group_4442	V
group_4443	EGP
group_4446	-
group_4447	-
group_4448	S
group_4449	KLT
group_4450	U
group_4451	S
group_4452	K
group_4453	-
group_4454	-
group_4456	-
group_4457	J
group_4458	-
group_4459	K
group_446	V
group_4460	M
group_4461	-
group_4462	S
group_4463	-
group_4464	H
group_4467	S
group_4468	F
group_4470	P
group_4471	K
group_4472	-
group_4473	-
group_4475	J
group_4476	S
group_4477	K
group_4479	T
group_448	D
group_4480	S
group_4481	-
group_4482	P
group_4483	S
group_4484	E
group_4487	-
group_4488	-
group_4489	E
group_449	M
group_4490	-
group_4491	-
group_4492	M
group_4493	-
group_4494	S
group_4496	V
group_4497	K
group_4498	J
group_4499	S
group_45	D
group_450	L
group_4500	S
group_4501	S
group_4502	K
group_4503	L
group_4504	S
group_4505	-
group_4506	-
group_4507	-
group_4508	P
group_451	-
group_4510	L
group_4511	F
group_4512	M
group_4513	M
group_4514	-
group_4516	S
group_4517	-
group_4518	-
group_4519	P
group_452	F
group_4520	T
group_4521	S
group_4523	-
group_4524	S
group_4525	S
group_4527	S
group_4528	E
group_4529	H
group_453	Q
group_4530	-
group_4531	S
group_4532	-
group_4533	M
group_4535	Q
group_4536	S
group_4537	-
group_4538	V
group_4539	S
group_454	S
group_4540	C
group_4541	S
group_4542	S
group_4543	L
group_4544	S
group_4545	C
group_4546	-
group_4547	-
group_4548	K
group_4549	S
group_455	P
group_4550	-
group_4551	T
group_4552	-
group_4553	-
group_4554	-
group_4555	-
group_4556	-
group_4557	-
group_4558	H
group_4559	-
group_456	KT
group_4560	S
group_4561	K
group_4562	-
group_4563	E
group_4564	P
group_4565	K
group_4566	M
group_4567	O
group_4568	S
group_4569	-
group_4570	P
group_4571	S
group_4572	S
group_4573	EH
group_4574	KLT
group_4575	L
group_4577	S
group_4578	-
group_4579	S
group_458	D
group_4580	D
group_4581	-
group_4582	S
group_4583	G
group_4584	K
group_4585	E
group_4586	T
group_4587	-
group_4588	S
group_4589	S
group_459	L
group_4590	S
group_4591	G
group_4592	-
group_4593	K
group_4594	-
group_4595	-
group_4596	O
group_4597	-
group_4598	S
group_46	M
group_460	M
group_4600	G
group_4601	S
group_4602	M
group_4603	M
group_4604	-
group_4605	D
group_4607	I
group_4608	S
group_4609	-
group_461	S
group_4610	V
group_4611	S
group_4612	-
group_4613	S
group_4614	EJ
group_4615	-
group_4617	S
group_4618	Q
group_4619	F
group_462	S
group_4620	S
group_4621	-
group_4622	-
group_4623	S
group_4624	-
group_4625	I
group_4626	S
group_4627	M
group_4628	E
group_4629	K
group_463	L
group_4630	C
group_4631	S
group_4633	K
group_4634	GL
group_4635	S
group_4636	K
group_4637	L
group_4638	G
group_4639	S
group_464	-
group_4640	L
group_4641	P
group_4642	-
group_4643	G
group_4644	S
group_4645	S
group_4646	S
group_4647	L
group_4648	S
group_4649	-
group_465	D
group_4650	S
group_4652	CH
group_4653	-
group_4654	V
group_4655	-
group_4656	M
group_4657	S
group_4658	S
group_4659	C
group_4660	V
group_4661	C
group_4662	-
group_4663	S
group_4664	H
group_4665	-
group_4666	-
group_4667	D
group_4668	E
group_4669	-
group_467	L
group_4670	G
group_4671	I
group_4672	S
group_4673	T
group_4674	-
group_4675	C
group_4676	T
group_4677	M
group_4678	O
group_4679	C
group_468	-
group_4680	-
group_4683	V
group_4684	G
group_4685	S
group_4686	-
group_4687	S
group_4688	P
group_4689	L
group_469	L
group_4691	V
group_4692	-
group_4693	-
group_4694	GM
group_4695	S
group_4696	HQ
group_4697	H
group_4698	E
group_4699	-
group_47	L
group_470	Q
group_4700	K
group_4701	-
group_4702	F
group_4703	M
group_4704	S
group_4705	S
group_4707	K
group_4708	P
group_4709	E
group_471	V
group_4710	Q
group_4711	V
group_4712	S
group_4713	S
group_4714	M
group_4715	P
group_4716	S
group_4717	F
group_4718	S
group_4719	S
group_472	L
group_4720	Q
group_4721	H
group_4722	-
group_4723	E
group_4724	P
group_4725	S
group_4727	C
group_4728	J
group_4729	M
group_473	P
group_4730	S
group_4731	S
group_4732	H
group_4733	F
group_4734	-
group_4735	-
group_4736	H
group_4737	S
group_4738	U
group_4739	S
group_474	KL
group_4740	-
group_4741	P
group_4742	P
group_4743	M
group_4744	C
group_4745	J
group_4746	E
group_4747	-
group_4748	S
group_4749	I
group_475	M
group_4750	S
group_4751	K
group_4752	S
group_4753	E
group_4754	IQ
group_4755	G
group_4756	Q
group_4757	L
group_4758	-
group_4759	I
group_476	K
group_4760	V
group_4761	C
group_4762	S
group_4763	-
group_4764	O
group_4765	M
group_4767	-
group_4768	EGP
group_4769	P
group_477	P
group_4770	S
group_4771	G
group_4772	-
group_4773	S
group_4774	S
group_4775	P
group_4776	K
group_4778	CE
group_4779	-
group_478	P
group_4780	F
group_4781	-
group_4782	S
group_4783	S
group_4784	E
group_4785	S
group_4786	CP
group_4787	L
group_4788	S
group_4789	P
group_479	M
group_4790	S
group_4791	L
group_4792	J
group_4793	S
group_4794	E
group_4795	T
group_4796	T
group_4797	D
group_4798	T
group_4799	S
group_480	L
group_4800	O
group_4801	S
group_4802	C
group_4803	O
group_4804	S
group_4805	S
group_4806	K
group_4807	S
group_4808	C
group_4809	S
group_4810	P
group_4811	EG
group_4812	S
group_4813	S
group_4814	S
group_4815	-
group_4816	S
group_4817	HJ
group_4818	V
group_4819	Q
group_482	-
group_4821	S
group_4822	S
group_4823	V
group_4824	P
group_4825	S
group_4826	-
group_4827	V
group_4828	GM
group_4829	Q
group_483	S
group_4830	Q
group_4831	E
group_4832	C
group_4833	-
group_4834	P
group_4835	K
group_4836	S
group_4837	P
group_4838	V
group_4839	S
group_484	L
group_4840	-
group_4841	P
group_4842	S
group_4843	S
group_4844	M
group_4845	E
group_4846	G
group_4847	U
group_4848	P
group_4849	-
group_485	K
group_4850	O
group_4851	-
group_4852	F
group_4853	S
group_4854	FP
group_4855	U
group_4856	S
group_4857	EP
group_4858	S
group_4859	F
group_486	M
group_4860	E
group_4861	H
group_4862	Q
group_4863	L
group_4864	E
group_4865	C
group_4866	S
group_4867	S
group_4868	S
group_4869	K
group_487	M
group_4870	S
group_4871	HP
group_4872	M
group_4873	M
group_4874	C
group_4875	P
group_4876	P
group_4877	-
group_4878	G
group_4879	-
group_488	E
group_4880	V
group_4881	P
group_4882	-
group_4883	J
group_4884	-
group_4885	Q
group_4886	S
group_4887	F
group_4888	G
group_4889	J
group_489	E
group_4890	S
group_4891	P
group_4892	P
group_4893	S
group_4895	L
group_4896	T
group_4897	C
group_4898	S
group_4899	P
group_49	M
group_490	L
group_4900	S
group_4901	-
group_4903	-
group_4904	G
group_4906	H
group_4907	P
group_4908	-
group_4909	L
group_4910	S
group_4911	KT
group_4912	H
group_4913	L
group_4914	D
group_4915	-
group_4916	P
group_4917	-
group_4918	-
group_4919	D
group_492	Q
group_4920	E
group_4921	P
group_4922	P
group_4923	E
group_4924	M
group_4925	K
group_4926	-
group_4927	P
group_4928	G
group_4929	-
group_493	M
group_4930	F
group_4931	S
group_4932	E
group_4933	P
group_4934	P
group_4935	J
group_4936	H
group_4937	H
group_4938	O
group_4939	EH
group_494	S
group_4940	-
group_4941	V
group_4942	NU
group_4943	S
group_4944	-
group_4945	H
group_4946	P
group_4947	E
group_4948	P
group_4949	P
group_495	V
group_4950	S
group_4951	P
group_4952	GT
group_4953	J
group_4954	E
group_4955	P
group_4956	-
group_4957	NU
group_4958	P
group_4959	-
group_496	-
group_4960	O
group_4961	S
group_4962	-
group_4963	E
group_4964	D
group_4965	K
group_4966	K
group_4967	E
group_4968	S
group_4969	O
group_497	U
group_4970	S
group_4971	S
group_4972	P
group_4973	-
group_4974	N
group_4975	L
group_4976	EGP
group_4977	K
group_4978	O
group_4979	IQ
group_498	L
group_4980	P
group_4981	L
group_4982	-
group_4983	D
group_4984	L
group_4985	-
group_4986	M
group_4987	M
group_4988	H
group_4989	S
group_4990	-
group_4991	P
group_4992	K
group_4993	EH
group_4994	P
group_4995	J
group_4996	E
group_4997	S
group_4998	P
group_4999	M
group_5	Q
group_50	Q
group_500	V
group_5000	G
group_5001	S
group_5002	S
group_5003	-
group_5004	-
group_5005	-
group_5006	S
group_5007	P
group_5008	-
group_5009	S
group_501	-
group_5010	IQ
group_5011	S
group_5012	M
group_5013	P
group_5014	HP
group_5016	C
group_5017	D
group_5018	S
group_5019	P
group_502	C
group_5020	F
group_5021	-
group_5022	N
group_5023	J
group_5024	T
group_5025	U
group_5026	S
group_5027	O
group_5028	K
group_5029	-
group_503	-
group_5030	-
group_5031	S
group_5032	-
group_5033	V
group_5034	-
group_5035	O
group_5036	S
group_5037	M
group_5038	G
group_5039	G
group_504	J
group_5040	GM
group_5041	E
group_5042	L
group_5043	T
group_5044	H
group_5045	S
group_5046	K
group_5047	E
group_5048	G
group_5049	F
group_505	K
group_5050	-
group_5051	V
group_5052	DM
group_5053	J
group_5054	T
group_5055	P
group_5056	V
group_5057	H
group_5058	F
group_5059	IQ
group_506	M
group_5060	P
group_5061	P
group_5062	H
group_5063	G
group_5064	H
group_5065	I
group_5066	H
group_5067	F
group_5068	S
group_5069	JK
group_507	KLT
group_5070	C
group_5071	L
group_5073	E
group_5075	S
group_5076	H
group_5077	S
group_5078	E
group_5079	M
group_508	-
group_5080	-
group_5082	-
group_5084	K
group_5085	M
group_5086	K
group_5088	-
group_5089	L
group_5090	S
group_5094	L
group_5095	L
group_5096	-
group_5097	L
group_51	P
group_510	L
group_5100	M
group_5101	-
group_5104	L
group_5105	IQ
group_5106	L
group_5107	S
group_511	P
group_512	I
group_5126	-
group_5127	H
group_513	-
group_5132	S
group_5133	S
group_514	-
group_5140	M
group_5141	L
group_5145	L
group_515	DJ
group_5151	V
group_5153	P
group_516	L
group_5165	J
group_5168	L
group_517	-
group_5174	KL
group_5175	L
group_5178	L
group_518	-
group_5189	HP
group_519	-
group_52	EK
group_520	-
group_5201	J
group_5202	S
group_5205	L
group_521	L
group_5218	L
group_5219	D
group_522	V
group_5224	L
group_523	S
group_5232	S
group_5233	M
group_5235	V
group_5236	P
group_5237	V
group_5238	L
group_5239	L
group_524	-
group_5240	L
group_5242	L
group_5244	V
group_5247	V
group_5250	S
group_5252	S
group_5253	D
group_5255	L
group_5258	KT
group_5259	V
group_526	M
group_5260	V
group_5262	S
group_5263	S
group_5268	C
group_527	I
group_5270	D
group_5276	P
group_5277	P
group_5278	L
group_528	M
group_5280	-
group_5282	L
group_5283	L
group_5285	L
group_5286	L
group_5289	L
group_529	E
group_5290	L
group_5291	L
group_5293	-
group_5294	L
group_5295	L
group_5296	K
group_5297	M
group_5299	L
group_53	L
group_530	GM
group_5300	L
group_5302	L
group_5303	-
group_5305	M
group_5306	K
group_531	GM
group_5310	K
group_5311	L
group_5312	L
group_5313	L
group_5314	L
group_5315	M
group_5316	L
group_5317	-
group_532	-
group_5320	-
group_5321	-
group_5322	S
group_5323	F
group_5324	-
group_5325	M
group_5326	K
group_5327	-
group_5328	-
group_5329	S
group_533	E
group_5330	S
group_5331	L
group_5332	S
group_5333	M
group_5334	-
group_5336	S
group_5338	-
group_5339	-
group_534	S
group_5340	-
group_5342	-
group_5345	-
group_5346	-
group_5347	-
group_5348	-
group_5349	-
group_535	K
group_5350	-
group_5352	-
group_5353	-
group_5354	-
group_5355	-
group_5358	L
group_536	S
group_5361	-
group_5362	-
group_5363	K
group_5365	-
group_5366	K
group_5368	-
group_5369	L
group_537	D
group_5370	-
group_5371	-
group_5372	L
group_5373	-
group_5376	L
group_5378	F
group_5379	-
group_538	FG
group_5380	-
group_5383	-
group_5385	H
group_5387	L
group_5388	G
group_5389	Q
group_539	I
group_5390	S
group_5391	D
group_5392	S
group_5393	S
group_5395	-
group_5396	L
group_5399	L
group_54	-
group_540	O
group_5400	P
group_5402	L
group_5404	P
group_5408	V
group_541	H
group_5411	V
group_5413	L
group_5414	L
group_5415	L
group_5416	L
group_5417	-
group_5418	T
