Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Ctub_58D11_acrpm.spades.pilon.fasta_genome,Ctub_DM01A02_acrpe.spades.pilon.fasta_genome,Ctub_DM01A08_acvsp.spades.pilon.fasta_genome,Ctub_DM01E11_acrpd.spades.pilon.fasta_genome,Ctub_DM06H05_acvsn.spades.pilon.fasta_genome,Ctub_DM12B01_acvst.spades.pilon.fasta_genome,Ctub_DM18A08_acvth.spades.pilon.fasta_genome,Ctub_DM18C03_acvti.spades.pilon.fasta_genome,Ctub_DM21B10_acrox.spades.pilon.fasta_genome,Ctub_DM21C09_acvtj.spades.pilon.fasta_genome,Ctub_DM21C11_acrow.spades.pilon.fasta_genome,Ctub_DM24D01_acvsz.spades.pilon.fasta_genome,Ctub_DM28E02_acrpb.spades.pilon.fasta_genome,Ctub_DM31F07_acvta.spades.pilon.fasta_genome,Ctub_DM31F11_acvtb.spades.pilon.fasta_genome,Ctub_DM31G10_acvtk.spades.pilon.fasta_genome,Ctub_DM32D06_acrpp.spades.pilon.fasta_genome,Ctub_DM32E08_acrpq.spades.pilon.fasta_genome,Ctub_DM33A08_acvtm.spades.pilon.fasta_genome,Ctub_DM33G03_acvtd.spades.pilon.fasta_genome,Ctub_DM41C07_acvtl.spades.pilon.fasta_genome,Ctub_DM41D05_acvtg.spades.pilon.fasta_genome,GCF_000159115.1_ASM15911v1_genomic.fna_genome,GCF_000175635.1_ASM17563v1_genomic.fna_genome,GCF_016127015.1_ASM1612701v1_genomic.fna_genome,GCF_016613425.1_ASM1661342v1_genomic.fna_genome,GCF_016728365.1_ASM1672836v1_genomic.fna_genome,GCF_016894265.1_ASM1689426v1_genomic.fna_genome,duplicate_Ctub_DM24A09_acroz.spades.pilon.fasta_genome
group_127,,PAC2 family protein,29,29,1.0,1,165,,,,1017,1065,1062.5172413793102,MNDJGCBO_00240,BAEMFPOL_01080,IFBJDBIC_00259,IHDAGAJE_00216,JLHCMBLP_00192,AGJPCOND_02149,GAGKCNGK_00086,HPNOPOKD_00752,MPMPHDIC_00142,COKKGDBG_00246,OFMFJDLO_00112,EPECPEML_00646,BCPKOOPG_01816,MHAMJDNJ_00785,MHMDHDMK_00085,GOOOCOCF_00090,DOCAKEAD_00268,DFDDJIAG_00626,BIHKHIPM_00157,IDHDBNGA_00677,FABEFEHK_00058,LBJDDPHL_00260,KHKEEPKC_01264,KOIPOHFF_00716,BENEEMDG_01127,AKMLPEBN_01691,OPLPGAAK_00073,FIBDHPGH_01470,JFPKKDNC_00124
group_126,,DEAD/DEAH box helicase,29,29,1.0,1,164,,,,2544,2556,2554.7586206896553,MNDJGCBO_00239,BAEMFPOL_01079,IFBJDBIC_00260,IHDAGAJE_00215,JLHCMBLP_00191,AGJPCOND_02150,GAGKCNGK_00087,HPNOPOKD_00751,MPMPHDIC_00143,COKKGDBG_00247,OFMFJDLO_00111,EPECPEML_00645,BCPKOOPG_01817,MHAMJDNJ_00784,MHMDHDMK_00084,GOOOCOCF_00091,DOCAKEAD_00269,DFDDJIAG_00627,BIHKHIPM_00158,IDHDBNGA_00678,FABEFEHK_00057,LBJDDPHL_00259,KHKEEPKC_01263,KOIPOHFF_00717,BENEEMDG_01128,AKMLPEBN_01690,OPLPGAAK_00074,FIBDHPGH_01469,JFPKKDNC_00123
aroC,aroC,chorismate synthase,29,29,1.0,1,163,,,,1149,1263,1172.5862068965516,MNDJGCBO_00319,BAEMFPOL_01157,IFBJDBIC_00171,IHDAGAJE_00840,JLHCMBLP_00272,AGJPCOND_01006,GAGKCNGK_00004,HPNOPOKD_00831,MPMPHDIC_00060,COKKGDBG_00167,OFMFJDLO_00191,EPECPEML_01302,BCPKOOPG_00853,MHAMJDNJ_00874,MHMDHDMK_00176,GOOOCOCF_00006,DOCAKEAD_00508,DFDDJIAG_01423,BIHKHIPM_00077,IDHDBNGA_00597,FABEFEHK_00138,LBJDDPHL_00341,KHKEEPKC_01343,KOIPOHFF_00637,BENEEMDG_01047,AKMLPEBN_01912,OPLPGAAK_02361,FIBDHPGH_01578,JFPKKDNC_00224
group_125,,bifunctional uroporphyrinogen-III C-methyltransferase/uroporphyrinogen-III synthase,29,29,1.0,1,162,,,,1722,1722,1722.0,MNDJGCBO_02160,BAEMFPOL_02161,IFBJDBIC_00846,IHDAGAJE_01303,JLHCMBLP_01462,AGJPCOND_02037,GAGKCNGK_01947,HPNOPOKD_00899,MPMPHDIC_00625,COKKGDBG_00747,OFMFJDLO_01488,EPECPEML_01940,BCPKOOPG_02129,MHAMJDNJ_01935,MHMDHDMK_02093,GOOOCOCF_01710,DOCAKEAD_01933,DFDDJIAG_02071,BIHKHIPM_00903,IDHDBNGA_02044,FABEFEHK_02042,LBJDDPHL_02146,KHKEEPKC_01889,KOIPOHFF_01804,BENEEMDG_00043,AKMLPEBN_00374,OPLPGAAK_01360,FIBDHPGH_00256,JFPKKDNC_00972
hemC,hemC,hydroxymethylbilane synthase,29,29,1.0,1,160,,,,888,888,888.0,MNDJGCBO_02161,BAEMFPOL_02162,IFBJDBIC_00845,IHDAGAJE_01304,JLHCMBLP_01463,AGJPCOND_02036,GAGKCNGK_01948,HPNOPOKD_00900,MPMPHDIC_00626,COKKGDBG_00746,OFMFJDLO_01489,EPECPEML_01939,BCPKOOPG_02130,MHAMJDNJ_01934,MHMDHDMK_02094,GOOOCOCF_01711,DOCAKEAD_01934,DFDDJIAG_02072,BIHKHIPM_00902,IDHDBNGA_02045,FABEFEHK_02043,LBJDDPHL_02145,KHKEEPKC_01888,KOIPOHFF_01803,BENEEMDG_00042,AKMLPEBN_00373,OPLPGAAK_01359,FIBDHPGH_00257,JFPKKDNC_00973
group_122,,HPr family phosphocarrier protein,29,29,1.0,1,156,,,,270,273,270.1034482758621,MNDJGCBO_00227,BAEMFPOL_01066,IFBJDBIC_00272,IHDAGAJE_00202,JLHCMBLP_00178,AGJPCOND_00668,GAGKCNGK_00099,HPNOPOKD_00739,MPMPHDIC_00155,COKKGDBG_00262,OFMFJDLO_00096,EPECPEML_00633,BCPKOOPG_01829,MHAMJDNJ_00772,MHMDHDMK_00071,GOOOCOCF_00104,DOCAKEAD_00282,DFDDJIAG_00640,BIHKHIPM_00171,IDHDBNGA_00691,FABEFEHK_00044,LBJDDPHL_00246,KHKEEPKC_01250,KOIPOHFF_00729,BENEEMDG_01141,AKMLPEBN_01677,OPLPGAAK_00089,FIBDHPGH_01456,JFPKKDNC_00111
group_121,,fructose-specific PTS transporter subunit EIIC,29,29,1.0,1,155,,,,2097,2160,2130.7241379310344,MNDJGCBO_00228,BAEMFPOL_01067,IFBJDBIC_00271,IHDAGAJE_00203,JLHCMBLP_00179,AGJPCOND_00669,GAGKCNGK_00098,HPNOPOKD_00740,MPMPHDIC_00154,COKKGDBG_00261,OFMFJDLO_00097,EPECPEML_00634,BCPKOOPG_01828,MHAMJDNJ_00773,MHMDHDMK_00072,GOOOCOCF_00103,DOCAKEAD_00281,DFDDJIAG_00639,BIHKHIPM_00170,IDHDBNGA_00690,FABEFEHK_00045,LBJDDPHL_00247,KHKEEPKC_01251,KOIPOHFF_00728,BENEEMDG_01140,AKMLPEBN_01678,OPLPGAAK_00088,FIBDHPGH_01457,JFPKKDNC_00112
can,can,aconitate hydratase,29,29,1.0,1,147,,,,2814,2817,2814.103448275862,MNDJGCBO_01527,BAEMFPOL_01709,IFBJDBIC_00100,IHDAGAJE_00771,JLHCMBLP_00356,AGJPCOND_01075,GAGKCNGK_00734,HPNOPOKD_01656,MPMPHDIC_02335,COKKGDBG_00098,OFMFJDLO_00260,EPECPEML_01373,BCPKOOPG_00784,MHAMJDNJ_00945,MHMDHDMK_00245,GOOOCOCF_01526,DOCAKEAD_00422,DFDDJIAG_01354,BIHKHIPM_00008,IDHDBNGA_00831,FABEFEHK_00207,LBJDDPHL_00410,KHKEEPKC_01412,KOIPOHFF_00568,BENEEMDG_00974,AKMLPEBN_01843,OPLPGAAK_02292,FIBDHPGH_01651,JFPKKDNC_00295
group_114,,proline--tRNA ligase,29,30,1.0344827586206897,1,146,,,,1728,1785,1769.1,MNDJGCBO_00177,BAEMFPOL_01014,IFBJDBIC_00326,IHDAGAJE_00152,JLHCMBLP_00127,AGJPCOND_00616,GAGKCNGK_00149,HPNOPOKD_00689,MPMPHDIC_00207;MPMPHDIC_02383,COKKGDBG_00312,OFMFJDLO_00046,EPECPEML_00580,BCPKOOPG_00566,MHAMJDNJ_00720,MHMDHDMK_00020,GOOOCOCF_00155,DOCAKEAD_00332,DFDDJIAG_00692,BIHKHIPM_01353,IDHDBNGA_00744,FABEFEHK_02129,LBJDDPHL_02108,KHKEEPKC_01200,KOIPOHFF_00792,BENEEMDG_01194,AKMLPEBN_01625,OPLPGAAK_00142,FIBDHPGH_01404,JFPKKDNC_00058
group_113,,membrane protein,29,30,1.0344827586206897,1,145,,,,321,423,360.8,MNDJGCBO_00178,BAEMFPOL_01015,IFBJDBIC_00325,IHDAGAJE_00153,JLHCMBLP_00128,AGJPCOND_00617,GAGKCNGK_00148,HPNOPOKD_00690,MPMPHDIC_00206;MPMPHDIC_02384,COKKGDBG_00311,OFMFJDLO_00047,EPECPEML_00581,BCPKOOPG_00567,MHAMJDNJ_00721,MHMDHDMK_00021,GOOOCOCF_00154,DOCAKEAD_00331,DFDDJIAG_00691,BIHKHIPM_01352,IDHDBNGA_00743,FABEFEHK_02128,LBJDDPHL_02107,KHKEEPKC_01201,KOIPOHFF_00791,BENEEMDG_01193,AKMLPEBN_01626,OPLPGAAK_00141,FIBDHPGH_01405,JFPKKDNC_00059
purL,purL,phosphoribosylformylglycinamidine synthase subunit PurL,29,29,1.0,1,144,,,,2310,2310,2310.0,MNDJGCBO_01665,BAEMFPOL_00863,IFBJDBIC_00524,IHDAGAJE_01087,JLHCMBLP_00906,AGJPCOND_02266,GAGKCNGK_02226,HPNOPOKD_01207,MPMPHDIC_01255,COKKGDBG_01335,OFMFJDLO_00793,EPECPEML_01501,BCPKOOPG_01972,MHAMJDNJ_01078,MHMDHDMK_00844,GOOOCOCF_01473,DOCAKEAD_00607,DFDDJIAG_01219,BIHKHIPM_01178,IDHDBNGA_01210,FABEFEHK_01045,LBJDDPHL_01169,KHKEEPKC_00731,KOIPOHFF_00114,BENEEMDG_01730,AKMLPEBN_02082,OPLPGAAK_00688,FIBDHPGH_00889,JFPKKDNC_01714
purQ,purQ,phosphoribosylformylglycinamidine synthase subunit PurQ,29,29,1.0,1,143,,,,684,684,684.0,MNDJGCBO_01666,BAEMFPOL_00862,IFBJDBIC_00525,IHDAGAJE_01088,JLHCMBLP_00907,AGJPCOND_02265,GAGKCNGK_02227,HPNOPOKD_01206,MPMPHDIC_01254,COKKGDBG_01334,OFMFJDLO_00792,EPECPEML_01502,BCPKOOPG_01973,MHAMJDNJ_01079,MHMDHDMK_00843,GOOOCOCF_01472,DOCAKEAD_00608,DFDDJIAG_01218,BIHKHIPM_01177,IDHDBNGA_01209,FABEFEHK_01046,LBJDDPHL_01170,KHKEEPKC_00730,KOIPOHFF_00113,BENEEMDG_01731,AKMLPEBN_02081,OPLPGAAK_00689,FIBDHPGH_00888,JFPKKDNC_01713
group_111,,hypothetical protein,29,29,1.0,1,141,,,,234,813,787.1379310344828,MNDJGCBO_01349,BAEMFPOL_00777,IFBJDBIC_00617,IHDAGAJE_01178,JLHCMBLP_01970,AGJPCOND_01475,GAGKCNGK_01713,HPNOPOKD_01115,MPMPHDIC_01169,COKKGDBG_01232,OFMFJDLO_00691,EPECPEML_02269,BCPKOOPG_01039,MHAMJDNJ_01172,MHMDHDMK_00758,GOOOCOCF_01386,DOCAKEAD_00701,DFDDJIAG_01129,BIHKHIPM_01545,IDHDBNGA_01125,FABEFEHK_02079,LBJDDPHL_01261,KHKEEPKC_00640,KOIPOHFF_00019,BENEEMDG_01818,AKMLPEBN_01986,OPLPGAAK_00780,FIBDHPGH_00800,JFPKKDNC_01623
group_110,,hypothetical protein,29,29,1.0,1,140,,,,1017,1050,1044.3103448275863,MNDJGCBO_01888,BAEMFPOL_00470,IFBJDBIC_01888,IHDAGAJE_00990,JLHCMBLP_00993,AGJPCOND_00684,GAGKCNGK_00446,HPNOPOKD_02109,MPMPHDIC_01598,COKKGDBG_02005,OFMFJDLO_00664,EPECPEML_00978,BCPKOOPG_00662,MHAMJDNJ_01630,MHMDHDMK_00581,GOOOCOCF_00450,DOCAKEAD_00785,DFDDJIAG_02121,BIHKHIPM_00793,IDHDBNGA_01539,FABEFEHK_00361,LBJDDPHL_01028,KHKEEPKC_02214,KOIPOHFF_02045,BENEEMDG_00364,AKMLPEBN_00617,OPLPGAAK_01677,FIBDHPGH_02252,JFPKKDNC_01525
cobA,cobA,uroporphyrinogen-III C-methyltransferase,29,29,1.0,1,139,,,,738,753,738.5172413793103,MNDJGCBO_01889,BAEMFPOL_00469,IFBJDBIC_01889,IHDAGAJE_00989,JLHCMBLP_00994,AGJPCOND_00685,GAGKCNGK_00447,HPNOPOKD_02108,MPMPHDIC_01599,COKKGDBG_02004,OFMFJDLO_00663,EPECPEML_00977,BCPKOOPG_00663,MHAMJDNJ_01629,MHMDHDMK_00580,GOOOCOCF_00451,DOCAKEAD_00784,DFDDJIAG_02120,BIHKHIPM_00794,IDHDBNGA_01538,FABEFEHK_00362,LBJDDPHL_01029,KHKEEPKC_02213,KOIPOHFF_02046,BENEEMDG_00363,AKMLPEBN_00618,OPLPGAAK_01676,FIBDHPGH_02253,JFPKKDNC_01526
group_108,,hypothetical protein,29,29,1.0,1,137,,,,204,204,204.0,MNDJGCBO_00628,BAEMFPOL_01657,IFBJDBIC_01456,IHDAGAJE_02200,JLHCMBLP_02189,AGJPCOND_01363,GAGKCNGK_01531,HPNOPOKD_01496,MPMPHDIC_01762,COKKGDBG_01490,OFMFJDLO_01429,EPECPEML_01793,BCPKOOPG_01011,MHAMJDNJ_01464,MHMDHDMK_01997,GOOOCOCF_01053,DOCAKEAD_02170,DFDDJIAG_01291,BIHKHIPM_01631,IDHDBNGA_01576,FABEFEHK_01720,LBJDDPHL_02227,KHKEEPKC_01610,KOIPOHFF_00226,BENEEMDG_02102,AKMLPEBN_00745,OPLPGAAK_01111,FIBDHPGH_00549,JFPKKDNC_01777
group_107,,hypothetical protein,29,29,1.0,1,136,,,,738,753,742.6551724137931,MNDJGCBO_00627,BAEMFPOL_01658,IFBJDBIC_01455,IHDAGAJE_02201,JLHCMBLP_02188,AGJPCOND_01364,GAGKCNGK_01532,HPNOPOKD_01497,MPMPHDIC_01763,COKKGDBG_01491,OFMFJDLO_01430,EPECPEML_01794,BCPKOOPG_01012,MHAMJDNJ_01465,MHMDHDMK_01998,GOOOCOCF_01054,DOCAKEAD_02171,DFDDJIAG_01290,BIHKHIPM_01632,IDHDBNGA_01577,FABEFEHK_01721,LBJDDPHL_02226,KHKEEPKC_01611,KOIPOHFF_00225,BENEEMDG_02103,AKMLPEBN_00746,OPLPGAAK_01112,FIBDHPGH_00548,JFPKKDNC_01776
group_106,,LacI family DNA-binding transcriptional regulator,29,29,1.0,1,135,,,,1098,1203,1123.9655172413793,MNDJGCBO_01420,BAEMFPOL_00841,IFBJDBIC_00546,IHDAGAJE_01108,JLHCMBLP_00931,AGJPCOND_01410,GAGKCNGK_01779,HPNOPOKD_01187,MPMPHDIC_01235,COKKGDBG_01304,OFMFJDLO_00761,EPECPEML_01523,BCPKOOPG_01114,MHAMJDNJ_01102,MHMDHDMK_00823,GOOOCOCF_01452,DOCAKEAD_00628,DFDDJIAG_01194,BIHKHIPM_01157,IDHDBNGA_01189,FABEFEHK_01068,LBJDDPHL_01190,KHKEEPKC_00710,KOIPOHFF_00083,BENEEMDG_01752,AKMLPEBN_02059,OPLPGAAK_00711,FIBDHPGH_00864,JFPKKDNC_01693
group_105,,hypothetical protein,29,29,1.0,1,134,,,,1014,1017,1016.8965517241379,MNDJGCBO_01214,BAEMFPOL_02231,IFBJDBIC_01785,IHDAGAJE_02056,JLHCMBLP_02200,AGJPCOND_01800,GAGKCNGK_01890,HPNOPOKD_00623,MPMPHDIC_00564,COKKGDBG_01876,OFMFJDLO_02181,EPECPEML_00727,BCPKOOPG_01799,MHAMJDNJ_00246,MHMDHDMK_01009,GOOOCOCF_00738,DOCAKEAD_02140,DFDDJIAG_02288,BIHKHIPM_01529,IDHDBNGA_01875,FABEFEHK_01857,LBJDDPHL_00753,KHKEEPKC_01962,KOIPOHFF_01206,BENEEMDG_00109,AKMLPEBN_00989,OPLPGAAK_01420,FIBDHPGH_00200,JFPKKDNC_00919
group_104,,DNA-directed RNA polymerase subunit beta,29,29,1.0,1,133,,,,3495,3495,3495.0,MNDJGCBO_01215,BAEMFPOL_02232,IFBJDBIC_01784,IHDAGAJE_02055,JLHCMBLP_02199,AGJPCOND_01799,GAGKCNGK_01889,HPNOPOKD_00622,MPMPHDIC_00563,COKKGDBG_01877,OFMFJDLO_02182,EPECPEML_00728,BCPKOOPG_01800,MHAMJDNJ_00245,MHMDHDMK_01008,GOOOCOCF_00737,DOCAKEAD_02141,DFDDJIAG_02287,BIHKHIPM_01528,IDHDBNGA_01876,FABEFEHK_01856,LBJDDPHL_00752,KHKEEPKC_01963,KOIPOHFF_01207,BENEEMDG_00110,AKMLPEBN_00990,OPLPGAAK_01421,FIBDHPGH_00199,JFPKKDNC_00918
group_103,,ATP-dependent RNA helicase,29,29,1.0,1,132,,,,2268,2271,2268.103448275862,MNDJGCBO_00543,BAEMFPOL_01840,IFBJDBIC_01394,IHDAGAJE_01797,JLHCMBLP_02106,AGJPCOND_02065,GAGKCNGK_01285,HPNOPOKD_01081,MPMPHDIC_02225,COKKGDBG_01564,OFMFJDLO_01802,EPECPEML_02022,BCPKOOPG_01851,MHAMJDNJ_02255,MHMDHDMK_01688,GOOOCOCF_01108,DOCAKEAD_01034,DFDDJIAG_01221,BIHKHIPM_01237,IDHDBNGA_01625,FABEFEHK_01372,LBJDDPHL_01853,KHKEEPKC_01663,KOIPOHFF_00993,BENEEMDG_02167,AKMLPEBN_00817,OPLPGAAK_01171,FIBDHPGH_00501,JFPKKDNC_02054
group_101,,hypothetical protein,29,29,1.0,1,130,,,,1134,1134,1134.0,MNDJGCBO_02240,BAEMFPOL_00060,IFBJDBIC_01226,IHDAGAJE_00611,JLHCMBLP_01183,AGJPCOND_00276,GAGKCNGK_02020,HPNOPOKD_01942,MPMPHDIC_01418,COKKGDBG_00862,OFMFJDLO_01283,EPECPEML_00276,BCPKOOPG_00130,MHAMJDNJ_00412,MHMDHDMK_00720,GOOOCOCF_00833,DOCAKEAD_00130,DFDDJIAG_00309,BIHKHIPM_00604,IDHDBNGA_00326,FABEFEHK_00660,LBJDDPHL_00098,KHKEEPKC_00331,KOIPOHFF_01461,BENEEMDG_00744,AKMLPEBN_00155,OPLPGAAK_02072,FIBDHPGH_01869,JFPKKDNC_00453
group_98,,sugar O-acetyltransferase,29,29,1.0,1,123,,,,633,666,657.2068965517242,MNDJGCBO_00542,BAEMFPOL_01839,IFBJDBIC_01393,IHDAGAJE_01798,JLHCMBLP_02105,AGJPCOND_02066,GAGKCNGK_01286,HPNOPOKD_01080,MPMPHDIC_02226,COKKGDBG_01565,OFMFJDLO_01801,EPECPEML_02021,BCPKOOPG_01850,MHAMJDNJ_02256,MHMDHDMK_01689,GOOOCOCF_01109,DOCAKEAD_01035,DFDDJIAG_01220,BIHKHIPM_01236,IDHDBNGA_01626,FABEFEHK_01371,LBJDDPHL_01852,KHKEEPKC_01664,KOIPOHFF_00992,BENEEMDG_02168,AKMLPEBN_00818,OPLPGAAK_01172,FIBDHPGH_00500,JFPKKDNC_02055
group_97,,SulP family inorganic anion transporter,29,30,1.0344827586206897,1,122,,,,120,1482,1431.1,MNDJGCBO_00552,BAEMFPOL_01849,IFBJDBIC_01403,IHDAGAJE_01788,JLHCMBLP_02115,AGJPCOND_02056,GAGKCNGK_01276,HPNOPOKD_01090,MPMPHDIC_02216,COKKGDBG_01555,OFMFJDLO_01811,EPECPEML_02031,BCPKOOPG_01860,MHAMJDNJ_02246,MHMDHDMK_01679,GOOOCOCF_01099,DOCAKEAD_01025,DFDDJIAG_01230,BIHKHIPM_01246,IDHDBNGA_01616,FABEFEHK_01382,LBJDDPHL_01862,KHKEEPKC_01654,KOIPOHFF_01002,BENEEMDG_02158,AKMLPEBN_00808,OPLPGAAK_01162,FIBDHPGH_00510,JFPKKDNC_02045;JFPKKDNC_02331
group_93,,DoxX family protein,29,29,1.0,1,117,,,,1017,1017,1017.0,MNDJGCBO_02007,BAEMFPOL_01960,IFBJDBIC_01370,IHDAGAJE_01205,JLHCMBLP_00533,AGJPCOND_00378,GAGKCNGK_02240,HPNOPOKD_02181,MPMPHDIC_01321,COKKGDBG_01743,OFMFJDLO_01054,EPECPEML_00375,BCPKOOPG_00020,MHAMJDNJ_01723,MHMDHDMK_01611,GOOOCOCF_00931,DOCAKEAD_00228,DFDDJIAG_00968,BIHKHIPM_01449,IDHDBNGA_01895,FABEFEHK_01512,LBJDDPHL_00193,KHKEEPKC_00430,KOIPOHFF_01560,BENEEMDG_00842,AKMLPEBN_00254,OPLPGAAK_02166,FIBDHPGH_01771,JFPKKDNC_02004
group_92,,MBL fold metallo-hydrolase,29,29,1.0,1,116,,,,603,603,603.0,MNDJGCBO_02008,BAEMFPOL_01961,IFBJDBIC_01371,IHDAGAJE_01204,JLHCMBLP_00532,AGJPCOND_00379,GAGKCNGK_02241,HPNOPOKD_02182,MPMPHDIC_01320,COKKGDBG_01744,OFMFJDLO_01055,EPECPEML_00376,BCPKOOPG_00019,MHAMJDNJ_01722,MHMDHDMK_01610,GOOOCOCF_00932,DOCAKEAD_00229,DFDDJIAG_00969,BIHKHIPM_01450,IDHDBNGA_01896,FABEFEHK_01511,LBJDDPHL_00194,KHKEEPKC_00431,KOIPOHFF_01561,BENEEMDG_00843,AKMLPEBN_00255,OPLPGAAK_02167,FIBDHPGH_01770,JFPKKDNC_02003
group_87,,FCD domain-containing protein,29,29,1.0,1,111,,,,687,696,695.6896551724138,MNDJGCBO_00854,BAEMFPOL_02273,IFBJDBIC_01617,IHDAGAJE_01823,JLHCMBLP_02012,AGJPCOND_02230,GAGKCNGK_00995,HPNOPOKD_01915,MPMPHDIC_00760,COKKGDBG_01785,OFMFJDLO_01085,EPECPEML_02056,BCPKOOPG_00226,MHAMJDNJ_00492,MHMDHDMK_00443,GOOOCOCF_02255,DOCAKEAD_01813,DFDDJIAG_01782,BIHKHIPM_01738,IDHDBNGA_00217,FABEFEHK_01940,LBJDDPHL_01978,KHKEEPKC_00792,KOIPOHFF_01680,BENEEMDG_01667,AKMLPEBN_01012,OPLPGAAK_00615,FIBDHPGH_00953,JFPKKDNC_01282
nrdE~~~nrdE_2~~~nrdE_1,nrdE;nrdE_2;nrdE_1,class 1b ribonucleoside-diphosphate reductase subunit alpha,29,29,1.0,1,109,,,,2163,2163,2163.0,MNDJGCBO_00855,BAEMFPOL_02274,IFBJDBIC_01618,IHDAGAJE_01822,JLHCMBLP_02011,AGJPCOND_02231,GAGKCNGK_00994,HPNOPOKD_01916,MPMPHDIC_00759,COKKGDBG_01784,OFMFJDLO_01084,EPECPEML_02055,BCPKOOPG_00225,MHAMJDNJ_00491,MHMDHDMK_00444,GOOOCOCF_02254,DOCAKEAD_01812,DFDDJIAG_01781,BIHKHIPM_01739,IDHDBNGA_00218,FABEFEHK_01941,LBJDDPHL_01977,KHKEEPKC_00791,KOIPOHFF_01681,BENEEMDG_01668,AKMLPEBN_01011,OPLPGAAK_00616,FIBDHPGH_00952,JFPKKDNC_01283
group_85,,response regulator transcription factor,29,29,1.0,1,108,,,,708,711,708.1034482758621,MNDJGCBO_02171,BAEMFPOL_02172,IFBJDBIC_00835,IHDAGAJE_01314,JLHCMBLP_01473,AGJPCOND_02026,GAGKCNGK_01958,HPNOPOKD_00910,MPMPHDIC_00636,COKKGDBG_00735,OFMFJDLO_01499,EPECPEML_01929,BCPKOOPG_02140,MHAMJDNJ_01924,MHMDHDMK_02104,GOOOCOCF_01721,DOCAKEAD_01944,DFDDJIAG_02082,BIHKHIPM_00892,IDHDBNGA_02055,FABEFEHK_02053,LBJDDPHL_02135,KHKEEPKC_01877,KOIPOHFF_01793,BENEEMDG_00032,AKMLPEBN_00363,OPLPGAAK_01349,FIBDHPGH_00267,JFPKKDNC_00983
group_84,,putative protein,29,29,1.0,1,107,,,,900,927,926.0689655172414,MNDJGCBO_02170,BAEMFPOL_02171,IFBJDBIC_00836,IHDAGAJE_01313,JLHCMBLP_01472,AGJPCOND_02027,GAGKCNGK_01957,HPNOPOKD_00909,MPMPHDIC_00635,COKKGDBG_00736,OFMFJDLO_01498,EPECPEML_01930,BCPKOOPG_02139,MHAMJDNJ_01925,MHMDHDMK_02103,GOOOCOCF_01720,DOCAKEAD_01943,DFDDJIAG_02081,BIHKHIPM_00893,IDHDBNGA_02054,FABEFEHK_02052,LBJDDPHL_02136,KHKEEPKC_01878,KOIPOHFF_01794,BENEEMDG_00033,AKMLPEBN_00364,OPLPGAAK_01350,FIBDHPGH_00266,JFPKKDNC_00982
group_83,,FAD-dependent thymidylate synthase,29,29,1.0,1,106,,,,747,747,747.0,MNDJGCBO_00198,BAEMFPOL_01037,IFBJDBIC_00302,IHDAGAJE_00173,JLHCMBLP_00149,AGJPCOND_00639,GAGKCNGK_00128,HPNOPOKD_00710,MPMPHDIC_00185,COKKGDBG_00291,OFMFJDLO_00067,EPECPEML_00604,BCPKOOPG_00589,MHAMJDNJ_00743,MHMDHDMK_00042,GOOOCOCF_00133,DOCAKEAD_00311,DFDDJIAG_00669,BIHKHIPM_00200,IDHDBNGA_00721,FABEFEHK_00015,LBJDDPHL_00217,KHKEEPKC_01221,KOIPOHFF_00769,BENEEMDG_01170,AKMLPEBN_01648,OPLPGAAK_00118,FIBDHPGH_01427,JFPKKDNC_00082
group_82,,phosphoribosyltransferase,29,29,1.0,1,105,,,,513,513,513.0,MNDJGCBO_00553,BAEMFPOL_01850,IFBJDBIC_01404,IHDAGAJE_01787,JLHCMBLP_02116,AGJPCOND_02055,GAGKCNGK_01275,HPNOPOKD_01091,MPMPHDIC_02215,COKKGDBG_01554,OFMFJDLO_01812,EPECPEML_02032,BCPKOOPG_01861,MHAMJDNJ_02245,MHMDHDMK_01678,GOOOCOCF_01098,DOCAKEAD_01024,DFDDJIAG_01231,BIHKHIPM_01247,IDHDBNGA_01615,FABEFEHK_01383,LBJDDPHL_01863,KHKEEPKC_01653,KOIPOHFF_01003,BENEEMDG_02157,AKMLPEBN_00807,OPLPGAAK_01161,FIBDHPGH_00511,JFPKKDNC_02332
group_79,,carboxymuconolactone decarboxylase family protein,29,29,1.0,1,102,,,,525,525,525.0,MNDJGCBO_00238,BAEMFPOL_01078,IFBJDBIC_00261,IHDAGAJE_00214,JLHCMBLP_00190,AGJPCOND_02151,GAGKCNGK_00088,HPNOPOKD_00750,MPMPHDIC_00144,COKKGDBG_00250,OFMFJDLO_00107,EPECPEML_00644,BCPKOOPG_01818,MHAMJDNJ_00783,MHMDHDMK_00083,GOOOCOCF_00092,DOCAKEAD_00270,DFDDJIAG_00628,BIHKHIPM_00159,IDHDBNGA_00679,FABEFEHK_00056,LBJDDPHL_00258,KHKEEPKC_01262,KOIPOHFF_00718,BENEEMDG_01129,AKMLPEBN_01689,OPLPGAAK_00075,FIBDHPGH_01468,JFPKKDNC_00122
